@relation Paper

@attribute warehouseman^4 {Alex}
@attribute warehouseman^3 {Alex}
@attribute warehouseman^0 {Alex}
@attribute warehouseman^2 {Alex}
@attribute clientType^0 {new,consolidate}
@attribute warehouseman^1 {Alex}
@attribute clientType^1 {new,consolidate}
@attribute clientType^2 {new,consolidate}
@attribute clientType^3 {new,consolidate}
@attribute clientType^4 {new,consolidate}
@attribute orderResult^0 {negative,positive}
@attribute orderResult^2 {negative,positive}
@attribute orderResult^1 {negative,positive}
@attribute financialOfficier^3 {Robert,Mario,Alexander}
@attribute customer^0 {A,B,C}
@attribute customer^1 {A,B,C}
@attribute financialOfficier^2 {Robert,Mario,Alexander}
@attribute financialOfficier^1 {Robert,Mario,Alexander}
@attribute customer^2 {A,B,C}
@attribute customer^3 {A,B,C}
@attribute financialOfficier^0 {Robert,Mario,Alexander}
@attribute customer^4 {A,B,C}
@attribute user^0 {U3,U2,U1}
@attribute user^1 {U3,U2,U1}
@attribute financialOfficier^4 {Robert,Mario,Alexander}
@attribute user^2 {U3,U2,U1}
@attribute user^4 {U3,U2,U1}
@attribute user^3 {U3,U2,U1}
@attribute orderResult^3 {negative,positive}
@attribute orderResult^4 {negative,positive}
@attribute product^1 {boxes,equipment,bottles}
@attribute product^2 {boxes,equipment,bottles}
@attribute product^0 {boxes,equipment,bottles}
@attribute product^3 {boxes,equipment,bottles}
@attribute product^4 {boxes,equipment,bottles}
@attribute salesmanager^2 {Johann,Mary,Marc}
@attribute salesmanager^1 {Johann,Mary,Marc}
@attribute salesmanager^4 {Johann,Mary,Marc}
@attribute salesmanager^3 {Johann,Mary,Marc}
@attribute salesmanager^0 {Johann,Mary,Marc}
@attribute amount^0 numeric
@attribute amount^1 numeric
@attribute amount^2 numeric
@attribute amount^3 numeric
@attribute amount^4 numeric
@attribute conformance {TRUE,FALSE,'?'}

@data
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,positive,positive,positive,?,B,B,Alexander,Alexander,B,?,Alexander,?,U1,U1,?,U1,?,?,?,?,bottles,bottles,bottles,?,?,Mary,Mary,?,?,Mary,639,639,639,?,?,FALSE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,negative,negative,negative,Alexander,B,B,Alexander,Alexander,B,B,Alexander,B,U1,U1,Alexander,U1,U1,U1,negative,negative,bottles,bottles,bottles,bottles,bottles,Johann,Johann,Johann,Johann,Johann,574,574,574,574,574,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Alexander,C,C,Alexander,Alexander,C,C,Alexander,?,U1,U1,?,U1,?,U1,negative,?,equipment,equipment,equipment,equipment,?,Mary,Mary,?,Mary,Mary,455,455,455,455,?,TRUE
?,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,?,positive,positive,positive,Mario,C,C,Mario,Mario,C,C,Mario,?,U1,U1,?,U1,?,U1,positive,?,equipment,equipment,equipment,equipment,?,Johann,Johann,?,Johann,Johann,482,482,482,482,?,TRUE
?,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,?,negative,negative,negative,Mario,B,B,Mario,Mario,B,B,Mario,?,U1,U1,?,U1,?,U1,negative,?,boxes,boxes,boxes,boxes,?,Marc,Marc,?,Marc,Marc,261,261,261,261,?,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Alexander,A,A,Alexander,Alexander,A,A,Alexander,?,U3,U3,?,U3,?,U3,negative,?,equipment,equipment,equipment,equipment,?,Mary,Mary,?,Mary,Mary,556,556,556,556,?,TRUE
?,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,?,positive,positive,positive,Mario,C,C,Mario,Mario,C,C,Mario,?,U2,U2,?,U2,?,U2,positive,?,equipment,equipment,equipment,equipment,?,Johann,Johann,?,Johann,Johann,560,560,560,560,?,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Alexander,C,C,Alexander,Alexander,C,C,Alexander,?,U3,U3,?,U3,?,U3,negative,?,boxes,boxes,boxes,boxes,?,Johann,Johann,?,Johann,Johann,66,66,66,66,?,TRUE
?,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,?,negative,negative,negative,Robert,A,A,Robert,Robert,A,A,Robert,?,U3,U3,?,U3,?,U3,negative,?,equipment,equipment,equipment,equipment,?,Johann,Johann,?,Johann,Johann,595,595,595,595,?,TRUE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,negative,negative,negative,?,C,C,Mario,Mario,C,?,Mario,?,U1,U1,?,U1,?,?,?,?,boxes,boxes,boxes,?,?,Mary,Mary,?,?,Mary,205,205,205,?,?,FALSE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,positive,positive,positive,Alexander,A,A,Alexander,Alexander,A,A,Alexander,A,U1,U1,Alexander,U1,U1,U1,positive,positive,boxes,boxes,boxes,boxes,boxes,Mary,Mary,Mary,Mary,Mary,880,880,880,880,880,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,positive,positive,positive,Robert,B,B,Robert,Robert,B,B,Robert,B,U3,U3,Robert,U3,U3,U3,positive,positive,boxes,boxes,boxes,boxes,boxes,Johann,Johann,Johann,Johann,Johann,493,493,493,493,493,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,negative,negative,negative,Mario,C,C,Mario,Mario,C,C,Mario,C,U3,U3,Mario,U3,U3,U3,negative,negative,equipment,equipment,equipment,equipment,equipment,Mary,Mary,Mary,Mary,Mary,191,191,191,191,191,TRUE
Alex,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,consolidate,positive,positive,positive,Mario,B,B,Mario,Mario,B,B,Mario,B,U1,U1,Mario,U1,U1,U1,positive,positive,boxes,boxes,boxes,boxes,boxes,Marc,Marc,Marc,Marc,Marc,395,395,395,395,395,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,positive,positive,positive,Mario,C,C,Mario,Mario,C,C,Mario,C,U3,U3,Mario,U3,U3,U3,positive,positive,bottles,bottles,bottles,bottles,bottles,Mary,Mary,Mary,Mary,Mary,891,891,891,891,891,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,positive,positive,positive,Mario,A,A,Mario,Mario,A,A,Mario,A,U3,U3,Mario,U3,U3,U3,positive,positive,boxes,boxes,boxes,boxes,boxes,Marc,Marc,Marc,Marc,Marc,602,602,602,602,602,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,positive,positive,positive,Alexander,A,A,Alexander,Alexander,A,A,Alexander,?,U3,U3,?,U3,?,U3,positive,?,boxes,boxes,boxes,boxes,?,Marc,Marc,?,Marc,Marc,43,43,43,43,?,TRUE
Alex,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,consolidate,negative,negative,negative,Robert,C,C,Robert,Robert,C,C,Robert,C,U1,U1,Robert,U1,U1,U1,negative,negative,bottles,bottles,bottles,bottles,bottles,Marc,Marc,Marc,Marc,Marc,505,505,505,505,505,TRUE
?,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,?,positive,positive,positive,Robert,A,A,Robert,Robert,A,A,Robert,?,U3,U3,?,U3,?,U3,positive,?,boxes,boxes,boxes,boxes,?,Johann,Johann,?,Johann,Johann,201,201,201,201,?,TRUE
?,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,?,negative,negative,negative,Mario,C,C,Mario,Mario,C,C,Mario,?,U2,U2,?,U2,?,U2,negative,?,boxes,boxes,boxes,boxes,?,Johann,Johann,?,Johann,Johann,700,700,700,700,?,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,positive,positive,positive,Alexander,A,A,Alexander,Alexander,A,A,Alexander,?,U3,U3,?,U3,?,U3,positive,?,boxes,boxes,boxes,boxes,?,Mary,Mary,?,Mary,Mary,26,26,26,26,?,TRUE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,positive,positive,positive,?,B,B,Alexander,Alexander,B,?,Alexander,?,U3,U3,?,U3,?,?,?,?,equipment,equipment,equipment,?,?,Mary,Mary,?,?,Mary,210,210,210,?,?,FALSE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Robert,A,A,Robert,Robert,A,A,Robert,?,U1,U1,?,U1,?,U1,negative,?,equipment,equipment,equipment,equipment,?,Mary,Mary,?,Mary,Mary,903,903,903,903,?,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,negative,negative,negative,Robert,A,A,Robert,Robert,A,A,Robert,A,U1,U1,Robert,U1,U1,U1,negative,negative,equipment,equipment,equipment,equipment,equipment,Marc,Marc,Marc,Marc,Marc,335,335,335,335,335,TRUE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,negative,negative,negative,?,B,B,Alexander,Alexander,B,?,Alexander,?,U2,U2,?,U2,?,?,?,?,boxes,boxes,boxes,?,?,Mary,Mary,?,?,Mary,680,680,680,?,?,FALSE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,negative,negative,negative,Mario,C,C,Mario,Mario,C,C,Mario,C,U1,U1,Mario,U1,U1,U1,negative,negative,boxes,boxes,boxes,boxes,boxes,Marc,Marc,Marc,Marc,Marc,157,157,157,157,157,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Mario,A,A,Mario,Mario,A,A,Mario,?,U1,U1,?,U1,?,U1,negative,?,bottles,bottles,bottles,bottles,?,Mary,Mary,?,Mary,Mary,338,338,338,338,?,TRUE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,negative,negative,negative,?,A,A,Robert,Robert,A,?,Robert,?,U2,U2,?,U2,?,?,?,?,equipment,equipment,equipment,?,?,Mary,Mary,?,?,Mary,890,890,890,?,?,FALSE
Alex,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,consolidate,positive,positive,positive,Mario,B,B,Mario,Mario,B,B,Mario,B,U1,U1,Mario,U1,U1,U1,positive,positive,boxes,boxes,boxes,boxes,boxes,Johann,Johann,Johann,Johann,Johann,705,705,705,705,705,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Mario,C,C,Mario,Mario,C,C,Mario,?,U3,U3,?,U3,?,U3,negative,?,bottles,bottles,bottles,bottles,?,Johann,Johann,?,Johann,Johann,400,400,400,400,?,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,positive,positive,positive,Alexander,B,B,Alexander,Alexander,B,B,Alexander,B,U2,U2,Alexander,U2,U2,U2,positive,positive,boxes,boxes,boxes,boxes,boxes,Marc,Marc,Marc,Marc,Marc,959,959,959,959,959,TRUE
Alex,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,consolidate,negative,negative,negative,Mario,C,C,Mario,Mario,C,C,Mario,C,U1,U1,Mario,U1,U1,U1,negative,negative,boxes,boxes,boxes,boxes,boxes,Johann,Johann,Johann,Johann,Johann,518,518,518,518,518,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,positive,positive,positive,Mario,B,B,Mario,Mario,B,B,Mario,?,U3,U3,?,U3,?,U3,positive,?,boxes,boxes,boxes,boxes,?,Mary,Mary,?,Mary,Mary,269,269,269,269,?,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,positive,positive,positive,Mario,C,C,Mario,Mario,C,C,Mario,?,U2,U2,?,U2,?,U2,positive,?,boxes,boxes,boxes,boxes,?,Marc,Marc,?,Marc,Marc,710,710,710,710,?,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,negative,negative,negative,Robert,C,C,Robert,Robert,C,C,Robert,C,U3,U3,Robert,U3,U3,U3,negative,negative,equipment,equipment,equipment,equipment,equipment,Marc,Marc,Marc,Marc,Marc,615,615,615,615,615,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,positive,positive,positive,Alexander,A,A,Alexander,Alexander,A,A,Alexander,A,U2,U2,Alexander,U2,U2,U2,positive,positive,boxes,boxes,boxes,boxes,boxes,Mary,Mary,Mary,Mary,Mary,154,154,154,154,154,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,positive,positive,positive,Robert,C,C,Robert,Robert,C,C,Robert,C,U2,U2,Robert,U2,U2,U2,positive,positive,bottles,bottles,bottles,bottles,bottles,Johann,Johann,Johann,Johann,Johann,746,746,746,746,746,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,negative,negative,negative,Mario,A,A,Mario,Mario,A,A,Mario,A,U2,U2,Mario,U2,U2,U2,negative,negative,equipment,equipment,equipment,equipment,equipment,Marc,Marc,Marc,Marc,Marc,277,277,277,277,277,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Alexander,C,C,Alexander,Alexander,C,C,Alexander,?,U2,U2,?,U2,?,U2,negative,?,bottles,bottles,bottles,bottles,?,Marc,Marc,?,Marc,Marc,572,572,572,572,?,TRUE
?,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,?,negative,negative,negative,Mario,A,A,Mario,Mario,A,A,Mario,?,U3,U3,?,U3,?,U3,negative,?,boxes,boxes,boxes,boxes,?,Marc,Marc,?,Marc,Marc,828,828,828,828,?,TRUE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,negative,negative,negative,?,B,B,Mario,Mario,B,?,Mario,?,U3,U3,?,U3,?,?,?,?,boxes,boxes,boxes,?,?,Mary,Mary,?,?,Mary,430,430,430,?,?,FALSE
Alex,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,consolidate,positive,positive,positive,Robert,A,A,Robert,Robert,A,A,Robert,A,U1,U1,Robert,U1,U1,U1,positive,positive,boxes,boxes,boxes,boxes,boxes,Johann,Johann,Johann,Johann,Johann,873,873,873,873,873,TRUE
Alex,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,consolidate,positive,positive,positive,Robert,B,B,Robert,Robert,B,B,Robert,B,U2,U2,Robert,U2,U2,U2,positive,positive,boxes,boxes,boxes,boxes,boxes,Johann,Johann,Johann,Johann,Johann,412,412,412,412,412,TRUE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,negative,negative,negative,?,B,B,Robert,Robert,B,?,Robert,?,U2,U2,?,U2,?,?,?,?,boxes,boxes,boxes,?,?,Mary,Mary,?,?,Mary,372,372,372,?,?,FALSE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,positive,positive,positive,?,A,A,Mario,Mario,A,?,Mario,?,U3,U3,?,U3,?,?,?,?,boxes,boxes,boxes,?,?,Mary,Mary,?,?,Mary,60,60,60,?,?,FALSE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,positive,positive,positive,Mario,A,A,Mario,Mario,A,A,Mario,A,U3,U3,Mario,U3,U3,U3,positive,positive,equipment,equipment,equipment,equipment,equipment,Johann,Johann,Johann,Johann,Johann,867,867,867,867,867,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Mario,C,C,Mario,Mario,C,C,Mario,?,U2,U2,?,U2,?,U2,negative,?,equipment,equipment,equipment,equipment,?,Mary,Mary,?,Mary,Mary,36,36,36,36,?,TRUE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,positive,positive,positive,?,A,A,Mario,Mario,A,?,Mario,?,U3,U3,?,U3,?,?,?,?,boxes,boxes,boxes,?,?,Mary,Mary,?,?,Mary,788,788,788,?,?,FALSE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,positive,positive,positive,?,A,A,Alexander,Alexander,A,?,Alexander,?,U2,U2,?,U2,?,?,?,?,equipment,equipment,equipment,?,?,Mary,Mary,?,?,Mary,508,508,508,?,?,FALSE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,negative,negative,negative,?,C,C,Robert,Robert,C,?,Robert,?,U2,U2,?,U2,?,?,?,?,boxes,boxes,boxes,?,?,Mary,Mary,?,?,Mary,873,873,873,?,?,FALSE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,positive,positive,positive,Mario,A,A,Mario,Mario,A,A,Mario,?,U1,U1,?,U1,?,U1,positive,?,boxes,boxes,boxes,boxes,?,Johann,Johann,?,Johann,Johann,452,452,452,452,?,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,negative,negative,negative,Robert,A,A,Robert,Robert,A,A,Robert,A,U2,U2,Robert,U2,U2,U2,negative,negative,bottles,bottles,bottles,bottles,bottles,Marc,Marc,Marc,Marc,Marc,277,277,277,277,277,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,positive,positive,positive,Robert,A,A,Robert,Robert,A,A,Robert,A,U2,U2,Robert,U2,U2,U2,positive,positive,equipment,equipment,equipment,equipment,equipment,Marc,Marc,Marc,Marc,Marc,914,914,914,914,914,TRUE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,positive,positive,positive,?,A,A,Robert,Robert,A,?,Robert,?,U1,U1,?,U1,?,?,?,?,boxes,boxes,boxes,?,?,Mary,Mary,?,?,Mary,992,992,992,?,?,FALSE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,positive,positive,positive,?,C,C,Alexander,Alexander,C,?,Alexander,?,U3,U3,?,U3,?,?,?,?,bottles,bottles,bottles,?,?,Mary,Mary,?,?,Mary,83,83,83,?,?,FALSE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,positive,positive,positive,Robert,B,B,Robert,Robert,B,B,Robert,B,U1,U1,Robert,U1,U1,U1,positive,positive,boxes,boxes,boxes,boxes,boxes,Mary,Mary,Mary,Mary,Mary,422,422,422,422,422,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Alexander,C,C,Alexander,Alexander,C,C,Alexander,?,U2,U2,?,U2,?,U2,negative,?,bottles,bottles,bottles,bottles,?,Marc,Marc,?,Marc,Marc,273,273,273,273,?,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,positive,positive,positive,Alexander,C,C,Alexander,Alexander,C,C,Alexander,?,U1,U1,?,U1,?,U1,positive,?,equipment,equipment,equipment,equipment,?,Marc,Marc,?,Marc,Marc,754,754,754,754,?,TRUE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,negative,negative,negative,?,B,B,Alexander,Alexander,B,?,Alexander,?,U3,U3,?,U3,?,?,?,?,boxes,boxes,boxes,?,?,Mary,Mary,?,?,Mary,717,717,717,?,?,FALSE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,negative,negative,negative,Alexander,B,B,Alexander,Alexander,B,B,Alexander,B,U3,U3,Alexander,U3,U3,U3,negative,negative,equipment,equipment,equipment,equipment,equipment,Mary,Mary,Mary,Mary,Mary,723,723,723,723,723,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,positive,positive,positive,Mario,B,B,Mario,Mario,B,B,Mario,?,U1,U1,?,U1,?,U1,positive,?,bottles,bottles,bottles,bottles,?,Marc,Marc,?,Marc,Marc,128,128,128,128,?,TRUE
?,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,?,negative,negative,negative,Mario,A,A,Mario,Mario,A,A,Mario,?,U1,U1,?,U1,?,U1,negative,?,boxes,boxes,boxes,boxes,?,Marc,Marc,?,Marc,Marc,341,341,341,341,?,TRUE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,positive,positive,positive,?,A,A,Robert,Robert,A,?,Robert,?,U1,U1,?,U1,?,?,?,?,equipment,equipment,equipment,?,?,Mary,Mary,?,?,Mary,619,619,619,?,?,FALSE
?,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,?,negative,negative,negative,Alexander,C,C,Alexander,Alexander,C,C,Alexander,?,U1,U1,?,U1,?,U1,negative,?,equipment,equipment,equipment,equipment,?,Johann,Johann,?,Johann,Johann,775,775,775,775,?,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,positive,positive,positive,Mario,C,C,Mario,Mario,C,C,Mario,C,U2,U2,Mario,U2,U2,U2,positive,positive,equipment,equipment,equipment,equipment,equipment,Johann,Johann,Johann,Johann,Johann,102,102,102,102,102,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,negative,negative,negative,Alexander,C,C,Alexander,Alexander,C,C,Alexander,C,U2,U2,Alexander,U2,U2,U2,negative,negative,equipment,equipment,equipment,equipment,equipment,Johann,Johann,Johann,Johann,Johann,204,204,204,204,204,TRUE
?,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,?,positive,positive,positive,Robert,C,C,Robert,Robert,C,C,Robert,?,U1,U1,?,U1,?,U1,positive,?,equipment,equipment,equipment,equipment,?,Johann,Johann,?,Johann,Johann,957,957,957,957,?,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,negative,negative,negative,Mario,A,A,Mario,Mario,A,A,Mario,A,U2,U2,Mario,U2,U2,U2,negative,negative,bottles,bottles,bottles,bottles,bottles,Mary,Mary,Mary,Mary,Mary,664,664,664,664,664,TRUE
?,Alex,Alex,Alex,consolidate,Alex,consolidate,consolidate,consolidate,?,negative,negative,negative,Robert,B,B,Robert,Robert,B,B,Robert,?,U1,U1,?,U1,?,U1,negative,?,boxes,boxes,boxes,boxes,?,Marc,Marc,?,Marc,Marc,858,858,858,858,?,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,positive,positive,positive,Alexander,A,A,Alexander,Alexander,A,A,Alexander,?,U3,U3,?,U3,?,U3,positive,?,equipment,equipment,equipment,equipment,?,Marc,Marc,?,Marc,Marc,777,777,777,777,?,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,positive,positive,positive,Alexander,B,B,Alexander,Alexander,B,B,Alexander,B,U1,U1,Alexander,U1,U1,U1,positive,positive,equipment,equipment,equipment,equipment,equipment,Marc,Marc,Marc,Marc,Marc,257,257,257,257,257,TRUE
?,Alex,Alex,Alex,new,Alex,new,new,new,?,negative,negative,negative,Alexander,A,A,Alexander,Alexander,A,A,Alexander,?,U2,U2,?,U2,?,U2,negative,?,bottles,bottles,bottles,bottles,?,Mary,Mary,?,Mary,Mary,254,254,254,254,?,TRUE
?,?,Alex,Alex,consolidate,Alex,consolidate,consolidate,?,?,negative,negative,negative,?,A,A,Robert,Robert,A,?,Robert,?,U3,U3,?,U3,?,?,?,?,boxes,boxes,boxes,?,?,Mary,Mary,?,?,Mary,249,249,249,?,?,FALSE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,positive,positive,positive,Robert,A,A,Robert,Robert,A,A,Robert,A,U2,U2,Robert,U2,U2,U2,positive,positive,bottles,bottles,bottles,bottles,bottles,Marc,Marc,Marc,Marc,Marc,621,621,621,621,621,TRUE
Alex,Alex,Alex,Alex,new,Alex,new,new,new,new,negative,negative,negative,Mario,C,C,Mario,Mario,C,C,Mario,C,U3,U3,Mario,U3,U3,U3,negative,negative,equipment,equipment,equipment,equipment,equipment,Johann,Johann,Johann,Johann,Johann,295,295,295,295,295,TRUE
